# Single-sighting backlog, built from tag-tree-open-gaps.md on 2026-09-24 (Rule C). Size bound: one row per parked note, ~500 rows.
# status: open | built rNNN <mode> | existing rNNN <mode> | skip: <why> | check: <why>
status	gaps_line	ref	kind	game	parked_on	review_ids	dir	proposed	quote
built r397 marketing.reputation.judges-the-studio-by-its-country	2158	gap 74	open-gap	redfall	.studio-lost-my-trust	215496457	?	studio's home country predicts the support you get (buying rule)	So check where the game you're interested in was made and manage your expectations accordingly.
existing r397 fits marketing.reputation.judged-unfairly (the console war is the cause; the tree records the feeling)	2178	gap 75	open-gap	redfall	.judged-unfairly	221761266	?	console war decided its reception before anyone played it	What really killed this game was the xbox vs playstation war
existing r397 fits art.visual-direction.look-undersells-the-game	2343	gap 84	open-gap	the-anacrusis	.look-undersells-the-game	108065081	-	branding is why nobody found it (discovery: never reached anyone)	this game never really took off, which I personally think is largely a branding issue
existing r397 re-homed to accessibility.hearing.the-subtitles-do-not-match-the-speech	2503	gap 92	one-sighting	the-anacrusis	accessibility.hearing.unknown	117387804	-	closed captions exist but are inaccurate / wrong	being inaccurate and lacking spell checking.
built r397 accessibility.memory-and-attention.a-player-with-a-named-condition-says-it-works	7050	gap 323	one-sighting	back-4-blood	accessibility.memory-and-attention.unknown	232385617	+	a player who names a cognitive condition says the game works for them (*works for me*)	It's more complicated than L4D but if you are autistic then you can get a hold of it.
built r397 narrative.story.told-during-the-fighting-so-it-is-lost	7862	round 307	one-sighting	space-marine-2	accessibility.memory-and-attention.unknown	189003013	-	story delivered during combat is lost	Lore, audio logs, and story dialogues were lost on me.
built r397 game-design.game-feel.controls.aim-assist-helps	3719	gap 138	one-sighting	terminull-brigade	accessibility.motor.unknown	202527914	+	aim assist works well	+ Good aim assist.
built r397 accessibility.vision.flashing-that-endangers-photosensitive-players	7817	round 305	one-sighting	space-marine-2	accessibility.vision.unknown	182195498	-	flashing lights: a seizure risk for photosensitive players	
built r397 accessibility.vision.the-motion-sickness-options-miss-some-of-it	8354	round 329	one-sighting	remnant-2	accessibility.vision.unknown	152602378	-	accessibility.vision.the-motion-sickness-options-miss-some-of-it	they don't include the spinning loading screens and elevators, or the sprint POV change.
built r397 accessibility.vision.flashing-that-endangers-photosensitive-players	8887	round 369	one-sighting	risk-of-rain-2	accessibility.vision.unknown	152614012	-	a missing photosensitivity/epilepsy warning	there should definitely be an epilepsy warning somewhere in the game
