game-design.game-feel.combat | ~ | How attacking and being hit feels: impact, weight, feedback.
game-design.game-feel.movement | ~ | How moving feels: weight, responsiveness, traversal.
game-design.game-feel.controls | ~ | Input, bindings, control scheme.
game-design.game-feel.camera | ~ | Where the view sits and how it follows: distance, perspective, framing.
game-design.game-feel.reward-moment | ~ | The instant the game pays the player — loot found, objective done, kill landed — and how that instant lands on
game-design.readability | ~ | Whether the player can tell what is happening and what is coming.
game-design.enemy-design | ~ | How enemies behave and what fighting them is like.
game-design.level-design | ~ | How the places played in are built.
game-design.world-interaction | ~ | How much the world responds to the player: destructible objects, things you can break, move or use.
game-design.modes | ~ | Which ways to play exist, and which are missing.
game-design.progression.build-and-customisation | ~ | Choosing how your character or loadout works.
game-design.progression.unlock-pace | ~ | How fast things open up; grind.
game-design.progression.complexity | ~ | Systems too complex, too shallow, or unexplained.
game-design.difficulty-tuning | ~ | Whether the difficulty is set well.
game-design.fairness | ~ | Whether losses feel earned or arbitrary.
game-design.randomness | ~ | RNG's effect on outcome.
game-design.power-balance | ~ | Relative strength of options, enemies, or roles. Renamed from `balance` — too easily confused with difficulty 
game-design.punishment-model | ~ | Cost of failing: checkpoints, retries, restarts.
game-design.replayability | ~ | Whether another run is worth starting.
game-design.co-op-design | ~ | How the game supports players working together.
game-design.role-design | ~ | Whether each class or role has a distinct, needed job.
game-design.solo-viability | ~ | Whether the game works played alone.
game-design.new-player-experience | ~ | Whether someone starting late can get in and keep up.
game-design.session-flexibility | ~ | Whether it can be played in short sittings or demands a long one.
game-design.ai-teammates | ~ | Bots standing in for human players: their quality and their presence.
game-design.ui-ux | ~ | Menus, HUD, information design.
game-design.unknown | ~ | Design is the subject, no aspect named.
engineering.performance | ~ | Frame rate, stutter, load times, optimisation.
engineering.stability | ~ | Crashes, freezes, hangs, save corruption.
engineering.bugs | ~ | Incorrect behaviour that is not a crash.
engineering.access.anticheat-blocks-play | ~ | Anti-cheat prevents launching or playing, false positives included.
engineering.access.drm | ~ | Copy protection affects access or performance.
engineering.access.account-or-platform-gate | ~ | A required account, launcher, or platform link blocks or annoys.
engineering.access.unknown | ~ | Blocked from playing for an unnamed reason.
engineering.netcode | ~ | Lag, desync, rubber-banding, hit registration online.
engineering.servers | ~ | Server availability, capacity, latency, and where they are located.
engineering.matchmaking | ~ | Finding and joining a game with others.
engineering.platform-support | ~ | Behaviour specific to an OS, handheld, controller, or hardware class.
engineering.unknown | ~ | Something technical is wrong, unnamed.
art.visual-direction | ~ | The look: style, coherence, appeal.
art.fidelity | ~ | Technical quality of the visuals: textures, models, lighting.
art.character-design | ~ | How the cast looks.
art.effects-and-gore | ~ | VFX, impacts, destruction, ragdolls.
art.environment-art | ~ | How the places look, as distinct from how they are built.
art.atmosphere | ~ | The combined felt mood produced by look, sound and setting together. **Deliberately homed in art** — see tiebr
art.unknown | ~ | Visuals are the subject, no aspect named.
audio.sound-effects | ~ | Weapon, impact, and world sound.
audio.music | ~ | Score and its use.
audio.voice-performance | ~ | Acting and delivery, in the original language.
audio.mixing | ~ | Balance, clarity, spatial audio.
audio.unknown | ~ | Sound is the subject, no aspect named.
narrative.story | ~ | Plot and how it is told.
narrative.world-and-setting | ~ | The world and its fiction.
narrative.characters-writing | ~ | The cast as written: personality, dialogue, appeal.
narrative.tone | ~ | Whether the attitude of the game lands.
narrative.unknown | ~ | Story is the subject, no aspect named.
production.content-amount | ~ | How much there is; length; whether it runs out.
production.content-variety | ~ | Whether it repeats; recycled or reused material.
production.launch-state | ~ | Condition of the game when it released.
production.scope-mismatch | ~ | The game reaches for more than it delivers.
production.unknown | ~ | What shipped is the subject, no aspect named.
publishing.price | ~ | The asking price against what is delivered.
publishing.sale-dependency | ~ | Worth buying at a discount but not at full price.
publishing.dlc-and-editions | ~ | Paid add-ons or edition tiers; content behind a second purchase.
publishing.monetisation-practice | ~ | In-game purchases, passes, currency.
publishing.availability | ~ | Whether it can be bought or played from where the person lives.
publishing.refund | ~ | The reviewer returned the game, tried to, or came back after doing so.
publishing.preorder | ~ | Buying before release, and whether that turned out well.
publishing.regional-pricing | ~ | The price level set for a region against local buying power.
publishing.unknown | ~ | Money is the subject, direction unclear.
marketing.promise-vs-reality | ~ | The game does not match how it was sold.
marketing.positioning | ~ | What the game was framed as, and whether that framing served it.
marketing.expectation-management | ~ | Whether buyers were set up to be disappointed.
marketing.reputation | ~ | How the game is perceived and discussed, as distinct from what it is. Includes "judged unfairly" and "deserved
marketing.unknown | ~ | The pitch is the subject, no aspect named.
live-ops.update-cadence | ~ | Frequency and size of updates.
live-ops.abandonment | ~ | Support has stopped, or is perceived to have.
live-ops.patch-quality | ~ | Whether a change improved or worsened the game.
live-ops.unknown | ~ | Running the live game is the subject, no aspect named.
